70	250	
1	19	6
2	7	29
3	17	25
4	22	8
5	16	5
6	9	12
7	21	17
8	24	12
9	29	14
10	9	4
11	6	2
12	15	20
13	25	19
14	5	13
15	15	13
16	29	14
17	21	9
18	12	21
19	11	23
20	22	23
21	10	16
22	5	22
23	26	19
24	17	28
25	16	24
26	17	9
27	8	13
28	10	12
29	16	16
30	13	24
31	22	13
32	30	30
33	5	12
34	19	24
35	30	3
36	27	16
37	25	4
38	27	28
39	11	10
40	24	27
41	16	15
42	26	16
43	12	11
44	21	21
45	24	10
46	6	23
47	18	6
48	13	26
49	22	15
50	9	23
51	6	14
52	20	9
53	10	6
54	7	3
55	25	12
56	7	21
57	20	3
58	26	21
59	13	8
60	15	27
61	13	20
62	20	12
63	25	9
64	6	8
65	14	26
66	18	15
67	8	19
68	11	27
69	14	21
70	20	13
